phrase,frequency,comments_mentioning,share_of_comments_pct
iloisia ystävällisiä,4,4,0.3
mukavia kavereita,4,4,0.3
kuljetus hoitui,4,4,0.3
ensimmäistä kertaa,4,4,0.3
ystävällisiä huolellisia,4,4,0.3
nopeasti huolellisesti,4,4,0.3
molemmat työntekijät,4,4,0.3
kuski erittäin,4,4,0.3
toinen kerta,4,4,0.3
muuttomiehet mukavia,4,4,0.3
mukavia osaavia,4,4,0.3
sujuva helppo,4,4,0.3
mukavat muuttomiehet,4,4,0.3
ystävällinen kuljettaja,4,4,0.3
hyvät tyypit,4,4,0.3
oikein ystävällisiä,4,4,0.3
mukavat ripeät,4,4,0.3
nopeasti työntekijät,4,4,0.3
työntekijät ammattitaitoisia,4,4,0.3
ystävällinen ripeä,4,4,0.3
huolellinen toiminta,4,4,0.3
muutto onnistui,4,4,0.3
asiansa osaavat,4,3,0.2
toimi ripeästi,4,4,0.3
ystävälliset ammattitaitoiset,4,4,0.3
nopea hyvä,4,4,0.3
ystävällisiä mukavia,4,4,0.3
erittäin hyvää,4,4,0.3
hyvät työntekijät,4,4,0.3
reipasta toimintaa,4,4,0.3
todella ammattitaitoisia,4,4,0.3
aikataulun mukaan,4,4,0.3
the driver,4,3,0.2
driver was,4,3,0.2
ystävällinen reipas,4,4,0.3
nopea muutto,4,4,0.3
muutto alkoi,4,4,0.3
ystävällisiä nuoria,4,4,0.3
nopeus ystävällisyys,4,4,0.3
hyvä palveluasenne,4,3,0.2
seuraavalle päivälle,4,4,0.3
hoitui ripeästi,4,4,0.3
täysin ajallaan,4,4,0.3
palvelua työntekijät,4,4,0.3
kiitos vielä,4,3,0.2
hyvin kohteliaita,4,4,0.3
saapui ajoissa,4,4,0.3
muuton todella,4,4,0.3
ajallaan ystävällinen,4,3,0.2
onnistui hyvin,4,4,0.3
toimintaa tavarat,4,4,0.3
nopeasti hyvin,4,4,0.3
todella nopea,4,4,0.3
ripeää ystävällistä,4,4,0.3
varata netistä,4,4,0.3
ystävälliset henkilöt,4,4,0.3
muutto tapahtui,4,4,0.3
nopeasti tehokkaasti,4,4,0.3
asiallisia kavereita,4,4,0.3
hoitui hyvin,4,4,0.3
hyvin kiitos,4,4,0.3
aikoja hyvin,4,4,0.3
kind and,4,4,0.3
hyvin hoidettu,4,4,0.3
asiallisia reippaita,4,4,0.3
kuski ajallaan,4,3,0.2
tilauksen tekeminen,4,4,0.3
hyvää asiakaspalvelua,4,4,0.3
aikataulun mukaisesti,4,4,0.3
huonekalut suojattiin,4,4,0.3
täyden kympin,4,4,0.3
saapuivat paikalle,4,4,0.3
hyvin työntekijät,4,4,0.3
muutaman minuutin,4,4,0.3
mukavat tehokkaat,4,4,0.3
tehokas palvelu,4,4,0.3
iso plussa,4,4,0.3
ripeitä huolellisia,4,4,0.3
kantajat ystävällisiä,4,4,0.3
tavarat pakattiin,4,4,0.3
täysi kymppi,4,4,0.3
polite and,4,4,0.3
molemmissa päissä,4,3,0.2
tehokas ystävällinen,4,4,0.3
puoli tuntia,4,4,0.3
tehokasta ystävällistä,4,4,0.3
kuski soitti,4,3,0.2
